Job Category,jobs,min_salary,p25_salary,median_salary,p75_salary,max_salary,avg_salary
"Finance, Accounting, & Procurement Technology, Data & Innovation",2,57539.0,57539.0,64452.0,64452.0,64452.0,62147.666666666664
"Constituent Services & Community Programs Policy, Research & Analysis Social Services",4,56463.5,56463.5,61002.0,63262.0,67029.5,61939.25
Administration & Human Resources Health,2,54402.0,54402.0,54402.0,69040.5,69040.5,61721.25
"Constituent Services & Community Programs Finance, Accounting, & Procurement Technology, Data & Innovation Policy, Research & Analysis",1,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0
"Constituent Services & Community Programs Public Safety, Inspections, & Enforcement",5,49920.5,51418.5,67029.5,67029.5,67029.5,61492.944444444445
Administration & Human Resources Building Operations & Maintenance,5,37979.5,40008.0,51418.5,94970.0,94970.0,61430.71428571428
"Policy, Research & Analysis Public Safety, Inspections, & Enforcement Social Services",1,61345.0,61345.0,61345.0,61345.0,61345.0,61345.0
Maintenance & Operations,4,53244.0,53244.0,53244.0,65458.8,72800.0,61186.7
"Technology, Data & Innovation Building Operations & Maintenance",1,61109.5,61109.5,61109.5,61109.5,61109.5,61109.5
"Finance, Accounting, & Procurement Policy & Analysis",1,60692.5,60692.5,60692.5,60692.5,60692.5,60692.5
"Health Public Safety, Inspections, & Enforcement",11,33451.392,47719.5,55540.5,74938.0,85971.5,59232.751619047616
Administration & Human Resources,88,30643.0,37979.5,53094.0,67029.5,132205.0,59094.00241791045
"Constituent Services & Community Programs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",1,58762.0,58762.0,58762.0,58762.0,58762.0,58762.0
"Finance, Accounting, & Procurement Social Services",1,58736.0,58736.0,58736.0,58736.0,58736.0,58736.0
Constituent Services & Community Programs Building Operations & Maintenance,1,58736.0,58736.0,58736.0,58736.0,58736.0,58736.0
"Administration & Human Resources Public Safety, Inspections, & Enforcement Social Services",1,58735.0,58735.0,58735.0,58735.0,58735.0,58735.0
Community & Business Services,3,46352.0,46352.0,59246.0,67500.0,67500.0,57699.333333333336
"Public Safety, Inspections, & Enforcement Social Services",5,49399.5,52500.0,58735.0,60633.0,67021.0,57538.0
"Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Policy, Research & Analysis",1,56867.5,56867.5,56867.5,56867.5,56867.5,56867.5
"Finance, Accounting, & Procurement Technology, Data & Innovation Policy, Research & Analysis",1,55421.5,55421.5,55421.5,55421.5,55421.5,55421.5
"Administration & Human Resources Legal Affairs Policy, Research & Analysis",2,50000.0,50000.0,50000.0,60000.0,60000.0,55000.0
"Technology, Data & Innovation Legal Affairs",3,47915.5,47915.5,47915.5,53834.0,69506.5,54792.875
Administration & Human Resources Legal Affairs,8,36816.0,39119.0,46837.0,60000.0,86419.5,53076.86363636364
"Administration & Human Resources Finance, Accounting, & Procurement Building Operations & Maintenance Policy, Research & Analysis",1,53075.5,53075.5,53075.5,53075.5,53075.5,53075.5
Administration & Human Resources Social Services,4,37979.5,47691.5,47691.5,62443.88799999999,62443.88799999999,51890.71266666666
"Communications & Intergovernmental Affairs Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",1,51454.0,51454.0,51454.0,51454.0,51454.0,51454.0
"Administration & Human Resources Technology, Data & Innovation",3,44945.0,44945.0,46914.399999999994,62063.5,62063.5,51307.63333333333
Constituent Services & Community Programs Legal Affairs,1,50313.5,50313.5,50313.5,50313.5,50313.5,50313.5
"Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs Public Safety, Inspections, & Enforcement",1,49576.5,49576.5,49576.5,49576.5,49576.5,49576.5
"Administration & Human Resources Health Technology, Data & Innovation",1,49409.46,49409.46,49409.46,49409.46,49409.46,49409.46
Clerical & Administrative Support Legal,3,45694.5,45694.5,48677.5,48677.5,50333.0,48345.625
"Finance, Accounting, & Procurement Information Technology & Telecommunications",1,48146.0,48146.0,48146.0,48146.0,48146.0,48146.0
Administration & Human Resources Communications & Intergovernmental Affairs,1,47864.5,47864.5,47864.5,47864.5,47864.5,47864.5
"Administration & Human Resources Health Public Safety, Inspections, & Enforcement",1,44377.0,44377.0,44377.0,44377.0,44377.0,44377.0
"Administration & Human Resources Constituent Services & Community Programs Policy, Research & Analysis",1,44377.0,44377.0,44377.0,44377.0,44377.0,44377.0
"Administration & Human Resources Legal Affairs Public Safety, Inspections, & Enforcement",1,43295.5,43295.5,43295.5,43295.5,43295.5,43295.5
"Administration & Human Resources Policy, Research & Analysis Public Safety, Inspections, & Enforcement",1,41338.5,41338.5,41338.5,41338.5,41338.5,41338.5
Clerical & Administrative Support,10,19874.4,36058.5,42033.5,43084.5,52817.5,39488.36923076923
Health Building Operations & Maintenance,1,38447.5,38447.5,38447.5,38447.5,38447.5,38447.5
Legal,1,37854.0,37854.0,37854.0,37854.0,37854.0,37854.0
"Engineering, Architecture, & Planning Finance, Accounting, & Procurement Policy, Research & Analysis",1,36816.0,36816.0,36816.0,36816.0,36816.0,36816.0
"Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Legal Affairs Policy, Research & Analysis",1,36816.0,36816.0,36816.0,36816.0,36816.0,36816.0
Communications & Intergovernmental Affairs Building Operations & Maintenance Social Services,1,36267.5,36267.5,36267.5,36267.5,36267.5,36267.5
"Communications & Intergovernmental Affairs Public Safety, Inspections, & Enforcement",1,34824.088,34824.088,34824.088,34824.088,34824.088,34824.088
"Administration & Human Resources Communications & Intergovernmental Affairs Public Safety, Inspections, & Enforcement",1,33941.0,33941.0,33941.0,33941.0,33941.0,33941.0
"Constituent Services & Community Programs Technology, Data & Innovation Policy, Research & Analysis Social Services",1,32240.0,32240.0,32240.0,32240.0,32240.0,32240.0
"Constituent Services & Community Programs Technology, Data & Innovation Public Safety, Inspections, & Enforcement Social Services",1,32240.0,32240.0,32240.0,32240.0,32240.0,32240.0
Administration & Human Resources Constituent Services & Community Programs Social Services,2,32240.0,32240.0,32240.0,32240.0,32240.0,32240.0
